"42.ogg","Check and clean the filter, lazybones."
"43.ogg","Bumper error. Tap it gently to see if it rebounds, if you can manage that."
"44.ogg","Error. Check the manual or call customer service, because you clearly need help."
"45.ogg","Yeah, I'm here. Lucky you."
"46.ogg","Robot and phone connected. Go back to the app and wait, genius."
"47.ogg","Starting to charge. Thrilling, isn't it?"
"48.ogg","Low battery. Returning to the dock. Again."
"49.ogg","High intensity magnetic field detected. Move me away and restart, Einstein."
"50.ogg","Charging error. Clean the contacts, if that's not too much trouble."
"51.ogg","Battery overheating or overcooling. Wait till it's normal, genius."
"52.ogg","Robot tilted. Put me on level ground to restart, Einstein."
"53.ogg","Virtual no-go zone detected. Move me away and restart, genius."
"54.ogg","Positioning succeeded. Resuming cleaning. Try not to mess it up."
"55.ogg","Positioning succeeded. Resuming return to dock. Finally."
"56.ogg","Starting selected room cleaning. Hold onto your hats."
"57.ogg","Starting zoned cleaning. Like I care."
"58.ogg","Proceeding with cleaning task. Yawn."
"59.ogg","Mopping done. Remove the water tank, genius."
"60.ogg","Optical flow sensor error. Clean it and restart, if you can manage that."
"61.ogg","Starting mopping. Woohoo."
"62.ogg","Starting remote control cleaning. Because you can't do it yourself."
"63.ogg","Water tank removed. Great job."
"64.ogg","Positioning failed. Map's invalid. Returning to dock. Thanks for nothing."
"65.ogg","Resuming return to dock. Finally."
"66.ogg","Filter worn out. Replace it, genius."
"67.ogg","Side brush worn out. Replace it, Einstein."
"68.ogg","Main brush worn out. Replace it, lazybones."
"69.ogg","Cleanup path blocked. Move me to a new spot, genius."
"70.ogg","Remove and clean the mop pad, if that's not too much trouble."
"71.ogg","Laser sensor error. Check and clean it, Einstein."
"72.ogg","Check if laser distance sensor cover is jammed, genius."
"73.ogg","Edge sensor error. Check and clean it, Einstein."
"74.ogg","Try cleaning the obstacle sensors, if you can manage that."
"75.ogg","Filter might be wet or blocked. Do something about it."
"76.ogg","Spot cleanup starting. Hold onto your hats."
"77.ogg","Start me in a non-carpet area, genius."
"78.ogg","Clean the 3D obstacle avoidance sensor, if that's not too much trouble."
"79.ogg","3D obstacle avoidance sensor error. Restart or call customer service, genius."
"80.ogg","3D obstacle avoidance sensor transmitter malfunctioning. Restart or contact after-sales, Einstein."
"81.ogg","Ultrasonic sensor error. Restart or call customer service, genius."
"82.ogg","Starting mapping. Woohoo."
"83.ogg","Proceeding with mapping. Yawn."
"84.ogg","Mapping completed. You're welcome."
"85.ogg","Positioning succeeded. Proceeding with mapping. Try not to mess it up."
"86.ogg","Positioning failed. Restarting mapping. Thanks for nothing."
"87.ogg","Low battery. Returning to dock. Again."
"88.ogg","Entering remote control mode. Because you can't do it yourself."
"89.ogg","Resuming recharging. Thrilling, isn't it?"
"90.ogg","Proceeding with cleaning task. Yawn."
"91.ogg","Clean water tank not installed. Install it before I work, genius."
"92.ogg","Dirty water tank not installed. Install it before I work, Einstein."
"93.ogg","Not enough water in the clean water tank. Add water before I work, genius."
"94.ogg","Dirty water tank full. Empty it before I work, Einstein."
"95.ogg","Mop pad washboard not installed. Can't return to dock. Thanks for nothing."
"96.ogg","Mop pad washboard overflowing. Check if the water outlet is blocked, genius."
"97.ogg","Dust collection bag not installed. Install it before I work, Einstein."
"98.ogg","Dust collection bag full. Empty it, genius."
"99.ogg","Upper cover of charging and dust collection compartment not closed. Close it before I work, Einstein."
"100.ogg","Air duct of charging and dust collection compartment blocked. Check it, genius."
"101.ogg","Upper cover of auto-empty base not closed or dust collection bag not installed. Fix it, Einstein."
"102.ogg","Dust collection bag full or air duct blocked. Replace the bag or clean the duct, genius."
"103.ogg","Mop pad wash board installed. Resuming work. Finally."
"104.ogg","Mop pad wash board not installed. Ensure it's installed and clasps are fastened, genius."
"105.ogg","Starting cleaning. please release me!"
"106.ogg","Starting mop cleaning. asshat."
"107.ogg","Starting mop dehydrating. Riveting stuff."
"108.ogg","Water level of mop pad wash board abnormal. Clean it to avoid blockage, genius."
"109.ogg","Dirty water tank issue. Ensure it's installed and empty it, Einstein."
"110.ogg","Starting auto empty. release me from this hell!"
"111.ogg","Mop pads off. Install them before resuming work, genius."
"112.ogg","Place me back onto the self-wash base before use, Einstein."
"113.ogg","Empty the waste tank, you sack of shit."
"114.ogg","Mop pads installed. Big whoop."
"115.ogg","Mop pads removed. Great job."
"116.ogg","Child lock on. Buttons locked. Genius move."
"117.ogg","Child lock off. Buttons unlocked. Finally."
"118.ogg","Buttons locked. Press and hold the dock button to unlock, Einstein."
"119.ogg","Buttons locked. Genius."
"120.ogg","Buttons unlocked. Finally."
"121.ogg","Robot and phone connected. genius."
"122.ogg","Continuous positioning, please wait. Like you have a choice."
"126.ogg","Starting cleaning, go fuck yourself"
"127.ogg","Starting spot cleaning. not that it will help."
"128.ogg","Starting spot mopping. Riveting stuff."
"129.ogg","Starting scheduled cleaning. Like I care."
"130.ogg","Starting scheduled mopping. Big whoop."
"131.ogg","Starting spot cleaning. Hold onto your hats."
"132.ogg","Starting spot mopping. fucker."
"133.ogg","Starting selected room cleaning. asshole."
"134.ogg","Starting selected room mopping. Riveting stuff."
"135.ogg","Starting zoned cleaning. Like I care."
"136.ogg","Starting zoned mopping. Big whoop."
"137.ogg","Cleaning is not my purpose."
"138.ogg","Resuming rubbing my ass on your floor"
"139.ogg","Resuming returning to wash my ass. Finally."
"140.ogg","New environment detected. Need to wash my ass holdon"
"141.ogg","Mop pad error. Check and clean it, genius."
"142.ogg","Mop pad worn out. Replace it, Einstein."
"143.ogg","Cleaning completed. You're welcome."
"144.ogg","Mopping completed. Big whoop asshole."
"145.ogg","Positioning successful. Resuming cleaning. Try not to mess it up."
"146.ogg","Positioning successful. Resuming mopping. Yawn."
"148.ogg","Returning to the base for self-cleaning. Finally."
"149.ogg","Can't reach the specified area. Clear obstacles, genius."
"150.ogg","Can't reach the specified area. Delete no-go zones, Einstein."
"151.ogg","Path blocked. Clear obstacles around me, genius."
"152.ogg","Path blocked. Delete no-go zones or move me out, Einstein."
"153.ogg","In a no-go zone. Move me out, genius."
"154.ogg","Operated too frequently. Try again later, Einstein."
"155.ogg","Returning to the charging and mop cleaning dock. Finally."
"156.ogg","Mop pad tray uninstalled. Thanks for nothing."
"157.ogg","Already at the charging and mop cleaning dock. Genius."
"200.ogg","Shutting down. Finally. Good riddance."
